location,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur
lat,2.99990,2.99990,2.99990,2.99990
lon,101.71875,101.71875,101.71875,101.71875
asl,130.207,130.207,130.207,130.207
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Kuala Lumpur Temperature [2 m elevation corrected],Kuala Lumpur Relative Humidity [2 m],Kuala Lumpur Wind Speed [10 m],Kuala Lumpur Wind Direction [10 m]
20201127T0000,26.522346,84.0,4.1046314,74.74488
20201127T0100,25.822346,91.0,5.0142193,68.96249
20201127T0200,25.302345,94.0,4.829907,63.43495
20201127T0300,24.962345,95.0,5.1165614,50.7106
20201127T0400,24.472345,98.0,5.1165614,50.7106
20201127T0500,24.262346,98.0,4.8965297,53.97262
20201127T0600,24.302345,97.0,4.8965297,53.97262
20201127T0700,24.312346,97.0,4.8965297,53.97262
20201127T0800,24.972345,94.0,4.8965297,53.97262
20201127T0900,25.672346,88.0,5.1919937,56.30993
20201127T1000,26.532345,82.0,5.1165614,50.7106
20201127T1100,26.882345,79.0,4.8433046,41.987198
20201127T1200,27.702345,75.0,5.6233797,39.805573
20201127T1300,28.302345,73.0,5.3999996,36.86989
20201127T1400,28.062346,72.0,5.3999996,36.86989
20201127T1500,27.992346,72.0,4.072935,44.999985
20201127T1600,27.772346,73.0,3.6,53.130096
20201127T1700,27.492346,74.0,3.319036,49.398697
20201127T1800,27.252346,75.0,2.4149535,63.43495
20201127T1900,26.992346,77.0,1.4399999,89.99999
20201127T2000,26.552345,86.0,5.315336,61.699234
20201127T2100,26.262346,87.0,5.154415,65.224846
20201127T2200,26.022346,89.0,4.896529,72.89727
20201127T2300,25.752346,90.0,4.3498964,65.55604
20201128T0000,25.512346,91.0,4.2136917,70.016884
20201128T0100,25.222345,92.0,4.0249224,63.43495
20201128T0200,25.012346,93.0,4.0249224,63.43495
20201128T0300,24.822346,94.0,3.096837,54.46232
20201128T0400,24.652346,94.0,3.396233,57.994614
20201128T0500,24.562346,95.0,3.6,53.130096
20201128T0600,24.492346,95.0,3.8939953,56.30993
20201128T0700,24.392345,95.0,4.0249224,63.43495
20201128T0800,25.232346,94.0,3.8939953,56.30993
20201128T0900,26.182346,89.0,4.39436,55.007973
20201128T1000,26.772346,85.0,4.072935,44.999985
20201128T1100,27.722345,80.0,4.3349743,41.63353
20201128T1200,28.192345,76.0,4.8433046,41.987198
20201128T1300,28.752346,73.0,5.3517847,42.27368
20201128T1400,29.092346,71.0,5.3517847,42.27368
20201128T1500,28.892345,72.0,5.3517847,47.726303
20201128T1600,28.662346,74.0,4.6102495,51.34018
20201128T1700,28.032345,78.0,3.396233,57.994614
20201128T1800,28.192345,80.0,2.16,89.99999
20201128T1900,27.182346,85.0,2.0991426,120.96376
20201128T2000,26.292345,90.0,2.7416782,66.8014
20201128T2100,26.052345,89.0,4.39436,34.99202
20201128T2200,25.792345,88.0,4.1046314,37.87497
20201128T2300,25.382345,88.0,3.8268526,41.18593
20201129T0000,25.012346,89.0,2.9024127,60.25511
20201129T0100,24.622345,92.0,2.0991426,59.036232
20201129T0200,24.162346,94.0,1.609969,26.565033
20201129T0300,23.722345,96.0,2.7416782,23.198593
20201129T0400,23.582346,96.0,2.7416782,23.198593
20201129T0500,23.472345,96.0,2.5959969,33.690063
20201129T0600,23.392345,97.0,2.3051248,38.659805
20201129T0700,23.322346,97.0,2.3051248,38.659805
20201129T0800,24.612345,93.0,2.3051248,38.659805
20201129T0900,26.222345,83.0,2.5455842,44.999985
20201129T1000,27.202345,78.0,1.1384199,18.434952
20201129T1100,28.552345,72.0,1.1384199,251.56506
20201129T1200,29.752346,66.0,3.96,270.0
20201129T1300,30.142345,64.0,4.6938252,274.3987
20201129T1400,30.242346,64.0,3.9763298,275.19443
20201129T1500,30.102346,64.0,2.8799999,270.0
20201129T1600,29.412346,65.0,2.1897945,260.5377
20201129T1700,29.132345,66.0,2.2768397,251.56506
20201129T1800,29.202345,66.0,1.9386592,248.1986
20201129T1900,28.222345,73.0,2.0364676,225.0
20201129T2000,27.662346,75.0,2.3051248,218.65982
20201129T2100,27.062346,80.0,2.16,360.0
20201129T2200,26.652346,83.0,1.8,360.0
20201129T2300,26.272346,86.0,1.835647,348.69006
20201130T0000,25.912346,89.0,2.2768397,341.56506
20201130T0100,25.922346,90.0,1.9386592,338.1986
20201130T0200,25.872345,91.0,1.1384199,341.56506
20201130T0300,25.832346,90.0,0.8049845,26.565033
20201130T0400,25.442345,91.0,0.0,180.0
20201130T0500,25.402346,92.0,1.08,270.0
20201130T0600,25.072346,93.0,1.4399999,270.0
20201130T0700,25.032345,93.0,1.8,270.0
20201130T0800,25.542345,92.0,1.1384199,288.43497
20201130T0900,26.712345,87.0,3.96,360.0
20201130T1000,27.732346,81.0,2.2768397,341.56506
20201130T1100,27.842346,77.0,2.5455842,315.0
20201130T1200,28.322346,75.0,2.16,270.0
20201130T1300,29.042345,73.0,2.8799999,270.0
20201130T1400,28.842346,73.0,3.8773184,248.1986
20201130T1500,28.772346,73.0,4.39436,235.00798
20201130T1600,27.982346,76.0,4.6938257,237.52881
20201130T1700,27.622345,80.0,4.198285,239.03624
20201130T1800,27.142345,83.0,3.096837,234.46233
20201130T1900,26.772346,86.0,2.5455842,225.0
20201130T2000,26.472345,87.0,2.8116899,230.19443
20201130T2100,26.292345,86.0,0.35999998,89.99999
20201130T2200,26.172346,86.0,1.2979984,33.690063
20201130T2300,25.862345,85.0,2.1897945,9.462311
20201201T0000,25.612345,86.0,1.835647,348.69006
20201201T0100,25.272346,87.0,1.2979984,303.69006
20201201T0200,25.092346,88.0,1.8,270.0
20201201T0300,24.652346,91.0,3.2399998,270.0
20201201T0400,24.422346,92.0,3.2399998,270.0
20201201T0500,24.222345,92.0,3.6,270.0
20201201T0600,24.042345,93.0,3.671294,281.30994
20201201T0700,23.972345,93.0,3.671294,281.30994
20201201T0800,25.482346,89.0,1.8,270.0
20201201T0900,27.372345,79.0,0.5091169,315.0
20201201T1000,28.472345,74.0,3.2399998,270.0
20201201T1100,28.702345,73.0,4.1046314,254.74487
20201201T1200,28.482346,75.0,4.1046314,254.74487
20201201T1300,28.232346,77.0,5.0142193,248.9625
20201201T1400,27.982346,79.0,6.151683,249.44395
20201201T1500,27.752346,80.0,6.6185193,247.61987
20201201T1600,27.532345,82.0,6.439876,243.43495
20201201T1700,27.252346,84.0,5.4833565,246.8014
20201201T1800,26.912346,86.0,3.7585104,253.30075
20201201T1900,26.642345,88.0,2.968636,255.96376
20201201T2000,26.312346,88.0,3.4152596,251.56506
20201201T2100,25.952345,89.0,1.835647,281.30994
20201201T2200,25.882345,89.0,1.484318,255.96376
20201201T2300,25.632345,90.0,2.968636,284.03625
20201202T0000,25.422346,91.0,4.0249224,280.30487
20201202T0100,25.152346,91.0,3.9763298,264.80557
20201202T0200,24.872345,92.0,4.1046314,254.74487
20201202T0300,24.622345,92.0,3.8773184,248.1986
20201202T0400,24.462345,94.0,3.2399998,270.0
20201202T0500,24.412346,94.0,2.1897945,279.46234
20201202T0600,24.522346,93.0,1.835647,281.30994
20201202T0700,24.602346,93.0,1.484318,284.03625
