date,sales
2013-01-01,19
2013-01-02,8
2013-01-03,10
2013-01-04,15
2013-01-05,22
2013-01-06,22
2013-01-07,7
2013-01-08,15
2013-01-09,9
2013-01-10,7
2013-01-11,19
2013-01-12,16
2013-01-13,14
2013-01-14,9
2013-01-15,14
2013-01-16,13
2013-01-17,18
2013-01-18,19
2013-01-19,19
2013-01-20,18
2013-01-21,14
2013-01-22,13
2013-01-23,17
2013-01-24,12
2013-01-25,19
2013-01-26,14
2013-01-27,13
2013-01-28,5
2013-01-29,20
2013-01-30,16
2013-01-31,17
2013-02-01,21
2013-02-02,21
2013-02-03,18
2013-02-04,10
2013-02-05,17
2013-02-06,15
2013-02-07,10
2013-02-08,8
2013-02-09,20
2013-02-10,6
2013-02-11,13
2013-02-12,14
2013-02-13,12
2013-02-14,12
2013-02-15,14
2013-02-16,15
2013-02-17,20
2013-02-18,10
2013-02-19,4
2013-02-20,12
2013-02-21,19
2013-02-22,17
2013-02-23,20
2013-02-24,24
2013-02-25,17
2013-02-26,13
2013-02-27,17
2013-02-28,22
2013-03-01,15
2013-03-02,19
2013-03-03,21
2013-03-04,17
2013-03-05,22
2013-03-06,19
2013-03-07,19
2013-03-08,26
2013-03-09,19
2013-03-10,21
2013-03-11,16
2013-03-12,19
2013-03-13,21
2013-03-14,22
2013-03-15,15
2013-03-16,21
2013-03-17,23
2013-03-18,11
2013-03-19,16
2013-03-20,13
2013-03-21,15
2013-03-22,23
2013-03-23,17
2013-03-24,26
2013-03-25,15
2013-03-26,25
2013-03-27,19
2013-03-28,17
2013-03-29,14
2013-03-30,21
2013-03-31,20
2013-04-01,15
2013-04-02,22
2013-04-03,21
2013-04-04,24
2013-04-05,20
2013-04-06,36
2013-04-07,31
2013-04-08,20
2013-04-09,12
2013-04-10,19
2013-04-11,29
2013-04-12,24
2013-04-13,25
2013-04-14,31
2013-04-15,15
2013-04-16,24
2013-04-17,15
2013-04-18,19
2013-04-19,23
2013-04-20,23
2013-04-21,19
2013-04-22,20
2013-04-23,31
2013-04-24,16
2013-04-25,24
2013-04-26,15
2013-04-27,35
2013-04-28,34
2013-04-29,12
2013-04-30,19
2013-05-01,24
2013-05-02,21
2013-05-03,23
2013-05-04,31
2013-05-05,30
2013-05-06,18
2013-05-07,21
2013-05-08,23
2013-05-09,33
2013-05-10,28
2013-05-11,28
2013-05-12,24
